f1,A,D,B,e76f51
f2,A,B,K,e76f51
f3,A,K,L,e76f51
f4,A,L,C,e76f51
f5,C,E,A,e76f51
f6,E,D,A,e76f51
f7,J,E,D,e76f51
f8,J,D,H,e76f51
f9,H,D,G,e76f51
f10,D,G,B,e76f51
f11,G,N,B,e76f51
f12,B,N,K,e76f51
f13,K,N,O,e76f51
f14,K,O,Q,e76f51
f15,L,K,Q,e76f51
f16,L,Q,P,e76f51
f17,L,P,M,e76f51
f18,C,L,M,e76f51
f19,F,C,M,e76f51
f20,F,E,C,e76f51
f21,I,E,F,e76f51
f22,I,J,E,e76f51
f23,S,U,R,2a9d8f
f24,W,S,R,2a9d8f
f25,X,W,R,2a9d8f
f26,T,X,R,2a9d8f
f27,R,V,T,2a9d8f
f28,R,U,V,2a9d8f
f29,U,V,J,2a9d8f
f30,H,U,J,2a9d8f
f31,G,U,H,2a9d8f
f32,S,G,U,2a9d8f
f33,S,N,G,2a9d8f
f34,W,N,S,2a9d8f
f35,O,N,W,2a9d8f
f36,Q,O,W,2a9d8f
f37,Q,W,X,2a9d8f
f38,P,Q,X,2a9d8f
f39,M,P,X,2a9d8f
f40,M,X,T,2a9d8f
f41,M,T,F,2a9d8f
f42,T,V,F,2a9d8f
f43,F,V,I,2a9d8f
f44,V,J,I,2a9d8f
